"Lyford Plots 1-3",,"Harvard Forest, MA",,"Plot centers: 42.53065 N, -72.18346 W (LF1); 42.53128 N, -72.18271 W (LF2); 42.53008 N, -72.18246 W (LF3)",,,,,,,
"Sampling Dates: 05/06/2013 (LF1 Trees 1-21), 11/03/2014 (LF1 Trees 22-43), and 06/19/2015 (LF1 Trees 44-64); 05/06/2013 (LF2 Trees 1-31), 11/03/2014 (LF2 Trees 32-50), and 06/19/2015 (LF2 Trees 51-71); 05/06/2013 (LF3 Trees 1-27), 11/03/2014 (LF3 Trees 28-54), and 06/19/2015 (LF3 Trees 55-86)",,,,,,,,,,,
,,,,,,,,,,,
"Site","Tree Number","Species","Canopy","Status","DBH","Distance","Azimuth","Tag","DistTop","AzTop","Decay"
"LF1",49,"NA","NA","Sh",45.2,19.1,57,"NA","NA","NA",5
"LF1",50,"NA","NA","Sh",33.5,14.3,62,"NA","NA","NA",5
"LF1",51,"NA","NA","Sh",58.5,3.9,97,"NA","NA","NA",5
"LF1",52,"ACRU","codominant","Lo",23.7,2.5,242,3871,13.7,282,1
"LF1",53,"NA","NA","St",53.9,14.4,282,"NA","NA","NA",4
"LF1",54,"NA","NA","Sh",43.2,10.7,244,"NA","NA","NA",5
"LF1",55,"NA","NA","Sh",51.7,15.9,244,"NA","NA","NA",5
"LF1",56,"QURU","NA","Sh",34,14.1,184,"NA","NA","NA",5
"LF1",57,"QURU","suppressed","Lo",14.6,6.1,258,3847,8.2,172,3
"LF1",58,"NA","NA","Sh",34.3,15.6,147,"NA","NA","NA",5
"LF1",59,"NA","NA","Sh",23.5,18.8,150,"NA","NA","NA",5
"LF1",60,"NA","NA","Sh",34.6,16.3,126,"NA","NA","NA",5
"LF1",62,"NA","NA","Sh",42.6,15.1,84,"NA","NA","NA",5
"LF1",63,"NA","NA","Sh",33.3,17.6,100,"NA","NA","NA",5
"LF1",64,"NA","NA","Sh",52.8,4.3,100,"NA","NA","NA",5
"LF2",1,"ACRU","intermediate","Li",19.4,8.4,48,1576,"NA","NA","NA"
"LF2",2,"BEAL","suppressed","Li",13,9.9,18,1568,"NA","NA","NA"
"LF2",3,"ACRU","suppressed","dead",16.2,9.9,24,1572,"NA","NA","NA"
"LF2",4,"ACRU","intermediate","Li",21.6,12.1,50,1595,"NA","NA","NA"
