PlotID,TreeID,Tree,Site,Species,Canopy,Status,DBH,Distance,Azimuth,x,y,Plot,No.
HMC1,HMC1001,1,HMC West,TSCA,I,Li,26.6,4.3,84,4.27644415,0.449472392,7094,11
HMC1,HMC1002,2,HMC West,TSCA,I,Li,24,4.6,47,3.364227027,3.137192456,7094,26
HMC1,HMC1003,3,HMC West,ACSA,D,Li,43.1,7.2,6,0.752604936,7.160557647,7094,2
HMC1,HMC1004,4,HMC West,ASCA,D,Li,45.6,4.9,328,-2.596604395,4.155435671,7094,59
HMC1,HMC1005,5,HMC West,TSCA,S,Li,24.1,4.2,325,-2.409021033,3.440438586,7094,58
HMC1,HMC1006,6,HMC West,TSCA,I,Li,33.3,5.75,321,-3.618592249,4.468589278,7094,60
HMC1,HMC1007,7,HMC West,TSCA,I,Li,37.8,10.8,320,-6.942106185,8.273279986,7094,69
HMC1,HMC1008,8,HMC West,TSCA,I,Li,26.7,11.5,308,-9.062123666,7.080106966,7094,61
HMC1,HMC1009,9,HMC West,TSCA,I,Li,30.8,14.4,310,-11.03103998,9.256141579,7094,62
HMC1,HMC1010,10,HMC West,ACSA,Sn,Sn,36,10.5,292,-9.735430473,3.933369231,7094,53
HMC1,HMC1011,11,HMC West,TSCA,S,Li,20.3,13.3,280,-13.09794312,2.309520763,7094,51
HMC1,HMC1012,12,HMC West,TSCA,D,Li,60.3,13.8,257,-13.44630689,-3.10432455,7094,50
HMC1,HMC1013,13,HMC West,TSCA,C,Li,39.2,11.2,252,-10.65183298,-3.460990337,7094,49
HMC1,HMC1014,14,HMC West,TSCA,I,Li,31.8,7.1,250,-6.671817608,-2.428343018,7094,48
HMC1,HMC1015,15,HMC West,TSCA,D,Li,61.1,7.4,236,-6.134878037,-4.138027486,7094,47
HMC1,HMC1016,16,HMC West,ACSA,I,Li,32.6,11.5,223,-7.842981141,-8.410567569,7094,70
HMC1,HMC1017,17,HMC West,TSCA,C,Li,36.9,13.6,217,-8.184684315,-10.86144294,7094,42
HMC1,HMC1018,18,HMC West,TSCA,C,Li,29.6,15.9,220,-10.22032299,-12.18010665,7094,43
HMC1,HMC1019,19,HMC West,TSCA,D,Li,55.7,14.2,235,-11.63195903,-8.144785396,7094,44
HMC1,HMC1020,20,HMC West,TSCA,I,Li,22,15.6,242,-13.77398245,-7.323756379,7094,45
HMC1,HMC1021,21,HMC West,TSCA,C,Li,55,7.2,181,-0.125657326,-7.198903405,7094,30
HMC1,HMC1022,22,HMC West,TSCA,D,Li,57.4,14.2,184,-0.990541927,-14.16540951,7094,39
HMC1,HMC1023,23,HMC West,TSCA,D,Li,65.2,13.5,153,6.128871746,-12.02858808,7094,33
HMC1,HMC1024,24,HMC West,ASCA,I,Li,23.2,11.8,153,5.357087897,-10.51387699,7094,32
HMC1,HMC1025,25,HMC West,TSCA,S,Li,22.8,11.2,153,5.084693597,-9.979273071,7094,31
HMC1,HMC1026,26,HMC West,TSCA,C,Li,35.9,6,113,5.523029121,-2.344386771,7094,22
HMC1,HMC1027,27,HMC West,BEAL,C,Li,31.4,7.2,181,-0.125657326,-7.198903405,7094,21
HMC1,HMC1028,28,HMC West,TSCA,C,Li,50.3,11.8,102,11.54214169,-2.453357952,7094,19
HMC1,HMC1029,29,HMC West,ASCA,C,Li,37.9,13.1,80,12.90098156,2.274791127,7094,18
HMC1,HMC1030,30,HMC West,TSCA,I,Li,37,11.4,62,10.06560256,5.351975816,7094,14
HMC1,HMC1031,31,HMC West,TSCA,D,Li,47,9.1,60,7.880831174,4.55,7094,12
HMC1,HMC1032,32,HMC West,TSCA,S,Li,23,9.1,56,7.54424191,5.088655422,7094,13
HMC1,HMC1033,33,HMC West,TSCA,I,Li,32.8,8.8,39,5.538019441,6.838884461,7094,8
HMC1,HMC1034,34,HMC West,TSCA,I,Li,38.2,14.5,33,7.897266008,12.16072324,7094,3
HMC1,HMC1035,35,HMC West,TSCA,S,Li,15.9,9.8,227,-7.167266276,-6.683583929,7094,46
HMC1,HMC1036,36,HMC West,TSCA,S,Li,16.9,13.3,214,-7.437265616,-11.02619971,7094,41
HMC1,HMC1037,37,HMC West,TSCA,S,Li,19.8,13.8,165,3.571702822,-13.3297764,7094,37
