"ID","distance","site","dbh","species"
"HMC2039",16.1,"HMC2",17.1,"TSCA"
"HMC3054",16,"HMC3",47.6,"TSCA"
"HMC3088",16,"HMC3",24.2,"TSCA"
"HMC3091",16,"HMC3",33.5,"TSCA"
"HMC4011",16,"HMC4",19.9,"TSCA"
"HMC4014",16,"HMC4",59.6,"ACSA"
"HMC4119",16,"HMC4",26.9,"TSCA"
"HMC4125",16,"HMC4",52.9,"TSCA"
"HMC1018",15.9,"HMC1",29.6,"TSCA"
"HMC3116",15.9,"HMC3",17.4,"TSCA"
"HMC3040",15.8,"HMC3",26,"TSCA"
"HMC1020",15.6,"HMC1",22,"TSCA"
"HMC3192",15.5,"HMC3",10.8,"TSCA"
"HMC3198",15.5,"HMC3",29.5,"TSCA"
"HMC3117",15.4,"HMC3",62,"POGR"
"HMC4113",15.3,"HMC4",41.8,"BEAL"
"HMC4162",15.3,"HMC4",58,"TSCA"
"HMC4163",15.2,"HMC4",49,"ACSA"
"HMC3048",15.1,"HMC3",23.9,"TSCA"
"HMC3052",15.1,"HMC3",35.8,"TSCA"
"HMC3122",15.1,"HMC3",43.6,"TSCA"
"HMC3071",15,"HMC3",34.2,"BEAL"
"HMC3086",15,"HMC3",38.7,"TSCA"
"HMC3163",15,"HMC3",43.4,"TSCA"
"HMC2046",14.9,"HMC2",44,"ACSA"
"HMC2049",14.8,"HMC2",37.9,"TSCA"
"HMC3079",14.8,"HMC3",57.5,"POGR"
"HMC2053",14.7,"HMC2",39.7,"TSCA"
"HMC3090",14.7,"HMC3",22.2,"ACSA"
"HMC1034",14.5,"HMC1",38.2,"TSCA"
"HMC3161",14.5,"HMC3",18.6,"TSCA"
"HMC1009",14.4,"HMC1",30.8,"TSCA"
"HMC2041",14.4,"HMC2",40.3,"TSCA"
"HMC4088",14.4,"HMC4",25.1,"TSCA"
"HMC2038",14.3,"HMC2",73.5,"TSCA"
"HMC3050",14.3,"HMC3",41.6,"THOC"
"HMC1019",14.2,"HMC1",55.7,"TSCA"
"HMC1022",14.2,"HMC1",57.4,"TSCA"
"HMC1041",14.1,"HMC1",10.7,"TSCA"
"HMC4118",14.1,"HMC4",46.8,"TSCA"
"HMC2048",14,"HMC2",61.5,"TSCA"
"HMC3123",14,"HMC3",28,"TSCA"
"HMC3087",13.9,"HMC3",20.2,"ACSA"
"HMC4121",13.9,"HMC4",24.6,"TSCA"
"HMC4124",13.9,"HMC4",20.6,"TSCA"
"HMC1012",13.8,"HMC1",60.3,"TSCA"
"HMC1037",13.8,"HMC1",19.8,"TSCA"
"HMC2050",13.8,"HMC2",78.3,"TSCA"
"HMC3044",13.8,"HMC3",18.3,"TSCA"
"HMC4091",13.8,"HMC4",17.8,"TSCA"
"HMC4223",13.8,"HMC4",30.2,"TSCA"
"HMC4038",13.7,"HMC4",89.5,"TSCA"
"HMC1017",13.6,"HMC1",36.9,"TSCA"
"HMC3085",13.6,"HMC3",18.5,"TSCA"
"HMC4016",13.6,"HMC4",93.4,"TSCA"
"HMC1023",13.5,"HMC1",65.2,"TSCA"
"HMC4195",13.5,"HMC4",27.2,"TSCA"
"HMC1011",13.3,"HMC1",20.3,"TSCA"
"HMC1036",13.3,"HMC1",16.9,"TSCA"
"HMC1038",13.2,"HMC1",11.1,"TSCA"
"HMC4029",13.2,"HMC4",57.1,"BEAL"
"HMC1029",13.1,"HMC1",37.9,"ASCA"
"HMC3115",13.1,"HMC3",25,"TSCA"
"HMC2056",13,"HMC2",62.8,"ACSA"
"HMC1039",12.9,"HMC1",23,"TSCA"
"HMC3037",12.9,"HMC3",40.3,"TSCA"
