"site","ID","species","distance","D62","D67","D89","D94","D99","D04","D09","D14"
"HMC1","HMC1038C","BEAL",12.7,17,NA,NA,NA,NA,NA,NA,NA
"HMC1","HMC1029C","TSCA",1.4,25.6,25.9,26.7,26.7,26.8,27.2,26.5,26.7
"HMC1","HMC1076C","TSCA",11.4,NA,NA,9.9,10.3,10.3,10,NA,NA
"HMC1","HMC1040C","TSCA",13.2,36.8,38.1,43.9,44.9,46.3,47.7,48.5,NA
"HMC1","HMC1938C","TSCA",14.5,NA,NA,NA,8.4,8.5,8.4,9.2,NA
"HMC1","HMC1081C","TSCA",14.5,NA,NA,9.1,NA,NA,NA,NA,NA
"HMC1","HMC1056C","TSCA",6,18.5,18.7,18.7,18.7,NA,NA,NA,NA
"HMC1","HMC1054C","ACSA",7.7,36.5,36.8,NA,NA,NA,NA,NA,NA
"HMC1","HMC1078C","TSCA",9.1,NA,NA,9.8,NA,NA,NA,NA,NA
"HMC1","HMC1063C","BEAL",15.9,15.4,15.4,16.1,16.5,16.1,16.1,NA,NA
"HMC1","HMC1057C","BEAL",3.6,25.6,26.6,29.2,29.4,29.8,NA,NA,NA
"HMC1","HMC1065C","ACSA",14.9,26.6,26.9,27.5,27.4,29.4,NA,NA,NA
"HMC1","HMC1067C","TSCA",15.8,14.4,14.7,15.3,15.9,15.4,15.4,15.3,NA
"HMC1","HMC1079C","TSCA",12.8,NA,NA,8.9,9.1,9.1,9,NA,NA
"HMC2","HMC2001","ACSA",10.1,41.4,41.9,45.7,47.3,47.7,48.7,48.9,50.5
"HMC2","HMC2002","TSCA",10.7,17.2,17.2,17.6,17.8,17.8,18.1,18.4,19.2
"HMC2","HMC2027","TSCA",6.9,33.2,33.2,35.2,35.9,36,36.5,37,37.1
"HMC2","HMC2030","TSCA",13,37.8,38.8,43.9,45.7,46.6,48.8,NA,NA
"HMC2","HMC2031","TSCA",9.5,36.8,37.5,42,43.4,44.3,45.2,46.5,47.3
"HMC2","HMC2037","ACSA",3.9,46.2,47.2,50.9,52.5,52.8,53.4,55.5,56.2
"HMC2","HMC2038","TSCA",14.4,54.6,55.8,64.1,66.1,67.1,68.7,69,70.1
"HMC2","HMC2040","TSCA",12.6,26.9,27.1,28.4,28.9,28.8,29.2,29.2,29.3
"HMC2","HMC2041","TSCA",14.2,33.5,34.5,37.4,38.2,38.4,38.8,39.7,39.8
"HMC2","HMC2042","TSCA",6.7,54.8,55.8,60.8,61.8,62.7,64.6,65.5,65.7
"HMC2","HMC2043","TSCA",2.7,40.8,44.8,46.9,48.5,49.3,50.1,51.6,52.9
"HMC2","HMC2044","TSCA",5.8,37.8,38.8,43.8,45,45.5,46.4,46.5,47.3
"HMC2","HMC2045","TSCA",11.3,33.7,34.5,36.1,36.3,36.3,36.7,36.2,36.2
"HMC2","HMC2046","ACSA",14.2,37.8,38.3,41.9,42.9,43.4,43.7,43.9,43.8
"HMC2","HMC2047","TSCA",5.3,37.8,38.6,41.5,42.2,42.7,43.4,43.7,44.7
"HMC2","HMC2048","TSCA",13.6,43.9,45.4,51.8,53.6,54.5,55.8,57.6,59.8
"HMC2","HMC2049","TSCA",14.4,31.2,31.7,34.8,35.4,35.9,36.3,37.1,37.2
"HMC2","HMC2050","TSCA",13,60.4,61.9,70.5,71.6,72.9,75,76.6,77.1
"HMC2","HMC2051","TSCA",10.9,53.3,54.6,60.8,62.4,63.3,64,66,65.9
"HMC2","HMC2052","TSCA",9.9,14.4,14.9,16.3,17.3,17.3,18,18.8,18.7
"HMC2","HMC2053","TSCA",14.8,31.4,32.2,36.2,37,37.3,38,39.2,39
"HMC2","HMC2054","TIAM",5.4,44.7,45.4,52.6,54.2,55.7,56.2,58.4,59.3
"HMC2","HMC2055","TSCA",11.8,35.5,36,40.6,42.9,43.6,44.6,45.7,46.8
"HMC2","HMC2056","ACSA",13,49.5,50.2,53.7,55.8,57.9,59.1,61.3,62.1
"HMC2","HMC2057","TSCA",10.1,49.2,50.5,55.4,56.8,57,59,60.7,61.2
"HMC2","HMC2058","TIAM",10.2,40.3,40.8,45.1,46.1,46.9,47.7,49.8,49.8
"HMC2","HMC2005C","ACSA",-0.1,30.2,NA,NA,NA,NA,NA,NA,NA
"HMC2","HMC2004C","ACSA",12.6,28.9,28.9,30.3,30.4,30.5,30.7,30.8,NA
"HMC2","HMC2003C","ACSA",13,29.9,30.4,32.8,33.6,33.8,34.1,34.1,NA
"HMC2","HMC2011C","TSCA",4.4,37.8,38.6,NA,NA,NA,NA,NA,NA
"HMC2","HMC2014C","TSCA",15,19.5,19.5,20.2,20.3,20.3,20.2,NA,NA
"HMC2","HMC2016C","TIAM",7.4,59.9,60.1,64.5,65.1,65.4,NA,NA,NA
"HMC2","HMC2018C","TSCA",11.4,19.5,19.5,19.6,19.7,NA,NA,NA,NA
"HMC2","HMC2020C","TSCA",15.7,23.8,24.1,26.5,26.7,27.5,28,NA,NA
"HMC2","HMC2019C","TSCA",12.2,29.4,29.7,31.3,33,36.1,37.4,NA,NA
"HMC2","HMC2026C","TSCA",6.7,19.8,19.8,NA,NA,NA,NA,NA,NA
"HMC2","HMC2022C","ACSA",13,26.1,26.1,NA,NA,NA,NA,NA,NA
"HMC2","HMC2038C","TSCA",15.5,44.1,45.2,49.3,50.7,50.7,51.5,53.8,NA
"HMC3","HMC3027","TSCA",8.3,22.8,23.8,27.1,27.6,28.3,29,29.3,30
"HMC3","HMC3037","TSCA",13.5,28.9,29.9,35.3,36.9,37.8,39,39.5,40.3
"HMC3","HMC3038","TSCA",3.9,34,35,40.4,42,43.2,44.6,44.8,45.9
"HMC3","HMC3039","TSCA",6.5,24.1,24.3,26.5,26.1,26.4,26.5,26.4,NA
"HMC3","HMC3041","TSCA",9.2,43.9,44.9,49.7,50.7,51.8,52.5,53.2,54.1
"HMC3","HMC3042","TSCA",9.4,NA,NA,18.2,18.8,18.7,18.8,18.7,18.7
"HMC3","HMC3043","TSCA",8,37.5,38.6,43.7,44.8,46,47,48.1,49
"HMC3","HMC3044","TSCA",13,17,17.2,18.2,18.2,18.5,18.4,18.7,NA
"HMC3","HMC3045","TSCA",1.5,18.5,18.7,19.8,20.2,20.5,21,21,21.6
"HMC3","HMC3046","TSCA",7.3,NA,NA,10.5,10.6,10.7,10.7,10.6,NA
"HMC3","HMC3047","TSCA",8.9,17.7,18,18.8,19.4,19,19.3,19.2,19.1
"HMC3","HMC3048","TSCA",14.2,18.5,19.3,21.7,22.2,22.7,23,23.3,23.6
"HMC3","HMC3049","TSCA",8.4,33,33.5,35.4,35.8,36.1,36.3,36.3,NA
"HMC3","HMC3050","THOC",14.9,36.5,37.3,40.9,40.4,40.7,41,40.9,41.3
"HMC3","HMC3051","TSCA",4.9,22,22.3,23.2,23.5,23.1,23.4,23.3,NA
"HMC3","HMC3052","TSCA",14.8,24.6,25.4,29.9,30.8,32.6,33.5,34.4,35.4
"HMC3","HMC3054","TSCA",15.9,35,36,42.1,42.7,44.1,45,45.8,46.7
"HMC3","HMC3055","TSCA",4.8,22.8,23.6,27.1,27.9,28.8,29.4,29.8,30.4
"HMC3","HMC3071","BEAL",15.1,28.1,28.9,32.2,32.5,34,33.3,33.4,34.5
"HMC3","HMC3075","TSCA",9.2,26.9,27.9,33.6,35,36.4,37.6,38.4,39
"HMC3","HMC3077","TSCA",6.6,20,20.5,22,22,22.2,22.4,22.5,22.6
"HMC3","HMC3078","TSCA",11.6,33.2,34.2,39.4,40.6,41.7,42.6,43,43.8
"HMC3","HMC3079","POGR",15.4,30.9,32.7,42.3,45.6,48.8,50.6,53.6,56.4
"HMC3","HMC3080","TSCA",10.3,28.1,28.9,32.2,32.7,33.5,34.3,35.5,35.6
"HMC3","HMC3084","ACSA",12.5,23.8,24.3,26.5,27.2,28,28.5,28.8,29.3
"HMC3","HMC3085","TSCA",14,14.7,15.2,17.9,17.8,17.6,18,18.4,18.5
"HMC3","HMC3086","TSCA",15.5,29.9,30.9,35.2,36.1,37.2,37.8,38.3,38.7
"HMC3","HMC3087","ACRU",14.6,15.2,15.7,17.9,18.4,18.8,19.5,19.4,19.8
"HMC3","HMC3090","ACSA",15.2,18.2,18.5,19.2,19.4,19.7,20,19.9,22.1
"HMC3","HMC3113","TSCA",5.6,50.5,51.3,55.9,56.5,57.5,58.2,59.3,59.8
"HMC3","HMC3114","TSCA",6.9,25.1,25.1,26.3,26.2,26.7,26.6,26.3,26.3
"HMC3","HMC3115","TSCA",13.4,23.8,24.1,24.9,25.1,25.1,25.2,NA,NA
"HMC3","HMC3117","POGR",15.9,49.5,50.8,60.4,60.9,62.8,62.9,63.8,NA
"HMC3","HMC3118","TSCA",8.3,44.7,45.7,50.6,51.8,52.9,54,55,55.7
"HMC3","HMC3119","TSCA",5.1,29.2,29.7,31,31.2,31.4,31.4,31.5,NA
"HMC3","HMC3120","ACRU",7.5,16.7,17.2,19.9,19.5,20,20.8,20.2,20.4
"HMC3","HMC3121","TSCA",12.1,37.3,38.3,44.5,46.2,47.7,48.9,50,51.2
"HMC3","HMC3122","TSCA",14.7,35.3,36,40.2,40.7,41.7,42.2,42.6,43.3
"HMC3","HMC3123","TSCA",13.2,22.8,23.6,25.5,26.1,26.9,27.5,27.8,28.1
"HMC3","HMC3124","TSCA",8.9,18.2,18.7,20,20.3,20.7,21,21,21.4
"HMC3","HMC3125","TSCA",10.9,23.6,24.1,25.7,26.4,26.7,27.2,27.3,27.9
"HMC3","HMC3161","TSCA",15.2,15.7,16,17.7,17.4,17.9,17.9,18.4,18.2
"HMC3","HMC3163","TSCA",15.2,33.2,34.2,38.6,39.8,41.1,41.9,43.1,43
"HMC3","HMC3164","TSCA",10.9,15.4,15.7,16.7,16.8,16.7,17,16.9,17.1
"HMC3","HMC3173","POGR",11.2,47.7,49.7,59.8,62,64,65.2,66.7,67.8
"HMC3","HMC3174","ACSA",11.2,20,20.3,22.6,22.8,23.1,23.2,23.3,23.7
"HMC3","HMC3192","TSCA",15.1,NA,NA,10.5,10.4,10.8,10.6,10.5,10.5
"HMC3","HMC3194","ACRU",2,13.7,14.4,16.1,16.3,16.6,16.9,17,17.3
"HMC3","HMC3195","TSCA",7.8,37.8,38.6,42,41.9,42.6,43.5,43.5,43.8
"HMC3","HMC3196","TSCA",10.8,32.7,33.2,36.9,37.2,37.6,38.3,38.3,38.2
"HMC3","HMC3197","TSCA",10.6,43.1,43.9,49.5,46.5,47.3,47.2,47.9,47.4
"HMC3","HMC3198","TSCA",15.1,24.3,24.8,26,27.8,28.4,28.6,29,29.4
"HMC3","HMC3939C","ACSA",15,NA,NA,11.4,12,12.5,12.7,NA,NA
"HMC3","HMC3007C","TSCA",15.6,14.7,14.9,15.8,NA,NA,NA,NA,NA
"HMC3","HMC3008C","ACSA",15.9,28.9,29.4,30.6,NA,NA,NA,NA,NA
"HMC3","HMC3012C","ACRU",9.1,17.5,17.5,19.1,19.1,19.2,18.9,NA,NA
"HMC3","HMC3013C","BEAL",5.2,14.2,14.4,16.4,NA,NA,NA,NA,NA
"HMC3","HMC3018C","TSCA",7.6,27.1,27.4,28.3,28.4,28.9,28.9,NA,NA
"HMC3","HMC3019C","TSCA",12.3,22,22.3,23.7,23,23.2,23.1,NA,NA
"HMC3","HMC3024C","BEAL",13.2,16,16,NA,NA,NA,NA,NA,NA
"HMC3","HMC3022C","BEAL",15.7,19.5,20,24.1,NA,NA,NA,NA,NA
"HMC3","HMC3023C","BEAL",15.9,13.7,13.9,NA,NA,NA,NA,NA,NA
"HMC3","HMC3027C","ACRU",10.1,36.8,37,NA,NA,NA,NA,NA,NA
"HMC3","HMC3031C","TSCA",13.5,23.1,23.6,26.1,26.1,26.4,26.8,NA,NA
"HMC3","HMC3033C","TSCA",13.8,13.9,13.9,NA,NA,NA,NA,NA,NA
"HMC3","HMC3075C","TSCA",8.9,NA,NA,10.8,10.4,NA,NA,NA,NA
"HMC3","HMC3038C","TSCA",9.8,14.2,14.2,15.1,15.1,15.3,15.3,15.3,NA
"HMC3","HMC3041C","BEAL",5.9,23.1,23.6,25.2,25.1,25.2,25.6,NA,NA
"HMC3","HMC3076C","TSCA",12.7,NA,NA,9.8,10,10.1,10.1,10,NA
"HMC3","HMC3077C","TSCA",15.4,NA,NA,7.5,7.5,8,7.6,NA,NA
"HMC3","HMC3044C","BEPA",12.1,40.8,41.4,42.6,NA,NA,NA,NA,NA
"HMC3","HMC3045C","TSCA",14.7,20.3,20.8,21.8,21.7,21.7,NA,NA,NA
"HMC3","HMC3042C","TSCA",6.2,28.9,29.7,32.7,31.7,NA,NA,NA,NA
"HMC3","HMC3053C","ACSA",7.8,28.1,28.7,30.1,30.2,30.2,30,NA,NA
"HMC3","HMC3078C","TSCA",14.5,NA,NA,6.6,NA,NA,NA,NA,NA
"HMC3","HMC3079C","TSCA",15.6,NA,NA,4.9,NA,NA,NA,NA,NA
"HMC3","HMC3058C","TSCA",11.8,14.9,15.2,16.6,16,16.5,16.5,NA,NA
"HMC3","HMC3060C","TSCA",4.2,23.6,24.1,25.2,25.7,25.4,25.5,25.5,NA
"HMC3","HMC3065C","BEAL",12.9,13.9,13.9,NA,NA,NA,NA,NA,NA
"HMC3","HMC3080C","TSCA",7,NA,NA,11.1,NA,NA,NA,NA,NA
"HMC3","HMC3064C","ACSA",10.1,24.8,25.1,NA,NA,NA,NA,NA,NA
"HMC3","HMC3072C","ACRU",10.4,34.7,35,35.5,34.6,NA,NA,NA,NA
"HMC4","HMC4012","ACSA",6.4,33,33.5,35.7,36.6,35.9,36.2,36,34.8
"HMC4","HMC4013","BEAL",5.6,57.6,57.9,60.1,59.7,59.6,60.8,59.7,59.9
"HMC4","HMC4015","TSCA",10,28.1,29.2,35.1,36.4,37.9,39.6,40,40.6
"HMC4","HMC4016","TSCA",13.3,76.4,77.7,85.8,87.6,89.2,91,92.2,NA
"HMC4","HMC4017","TSCA",8.8,24.8,26.1,34.6,36.1,37,38,38.8,39.5
"HMC4","HMC4018","TSCA",9.8,23.1,23.6,25.1,25.8,25.9,26.1,26.3,26.6
"HMC4","HMC4024","TSCA",9.1,16.7,17,17.4,17.6,17.9,17.8,17.8,17.8
"HMC4","HMC4026","TSCA",11.3,38.8,40.1,48.1,49.8,51.9,53.5,55.1,57
"HMC4","HMC4029","BEAL",13.4,51,51.5,55.5,55.7,56.1,56.2,56.7,57.8
"HMC4","HMC4037","TSCA",9.2,13.7,13.9,14.9,15,15.1,15.4,15.2,15.3
"HMC4","HMC4038","TSCA",13.7,67.3,68.8,79.5,81.3,83,85,87.5,88.6
"HMC4","HMC4058","TSCA",8.2,26.6,27.4,31.4,31,31.4,32.2,32.6,33.6
"HMC4","HMC4081","TSCA",6.8,27.9,28.4,30.7,30.9,31.1,31.3,31.8,31.8
"HMC4","HMC4088","TSCA",14.3,23.3,23.6,24.2,24.3,24.3,24.6,24.7,25.1
"HMC4","HMC4091","TSCA",13.4,NA,12.7,16.1,16.4,16.1,16.3,16.4,16.8
"HMC4","HMC4113","BEAL",14.8,38.1,38.6,40.2,39.9,40.4,40.4,41.3,40.9
"HMC4","HMC4114","TSCA",3.7,19,19.5,21.1,21.4,21.4,21.4,21.5,21.6
"HMC4","HMC4115","TSCA",5.2,44.4,46.2,58.3,59.6,61.9,64.2,66.7,68.5
"HMC4","HMC4116","TSCA",10,15.7,17,20.9,21.3,21.6,22,21.4,21.6
"HMC4","HMC4117","TSCA",10.7,NA,NA,12.3,13,12.9,12.9,12.6,12.4
"HMC4","HMC4118","TSCA",13.3,34.7,35.8,41.3,41.9,42.9,43.9,44.7,45.7
"HMC4","HMC4120","ACSA",10.1,31.4,31.7,36.5,34.6,35,35.3,37.4,37.6
"HMC4","HMC4121","TSCA",13.5,18.2,19,22.6,23.5,23.4,24,24.3,24.3
"HMC4","HMC4122","TSCA",10.9,19,19.5,21.4,21.7,22.2,23,23.7,24.4
"HMC4","HMC4123","TSCA",5.7,32.7,34,40.9,42.3,43.9,45.5,46.9,47.9
"HMC4","HMC4124","TSCA",13.6,15.4,16,18.8,19.4,19.4,19.8,20,20.3
"HMC4","HMC4125","TSCA",15.4,35.5,36.8,43.8,45.7,47.3,47.7,50.8,52.3
"HMC4","HMC4162","TSCA",15.4,40.3,41.6,49.4,50.6,52.5,54.4,55.7,57.2
"HMC4","HMC4163","ACSA",14.4,38.3,39.1,45.5,45.9,47.1,47.4,48.2,48.2
"HMC4","HMC4164","TSCA",4.9,19.8,20.8,26.1,27.5,27.9,28.5,29.5,30.7
"HMC4","HMC4166","TSCA",10.3,16.7,17.2,18.9,18.6,18.7,18.9,19.3,19.4
"HMC4","HMC4173","TSCA",9,NA,12.7,14.2,14.4,14.4,14.4,14.3,14.3
"HMC4","HMC4175","TIAM",11.8,37.8,38.8,45.1,45.2,45.8,46.2,46.2,47.1
"HMC4","HMC4192","TSCA",4.9,29.2,30.2,34.7,35.7,36.3,37.8,37.8,38.2
"HMC4","HMC4194","TSCA",11.8,14.2,14.9,19.5,19.9,20.4,21,21.6,22.1
"HMC4","HMC4195","TSCA",12.4,16.5,17.7,22.8,23.5,24.4,25.3,26.1,26.9
"HMC4","HMC4196","TSCA",2.1,29.9,30.4,33.2,34.1,34.1,34.7,34.9,35.7
"HMC4","HMC4197","TSCA",9.2,60.1,61.4,69.2,69.6,70.8,71.9,72.7,73.7
"HMC4","HMC4198","BEAL",9.3,46.7,48,51.9,52.4,53.8,53.5,54.7,54.5
"HMC4","HMC4223","TSCA",2.3,21.8,22.6,25.9,26.7,27.1,26.8,26.8,26.6
"HMC4","HMC4058C","ACRU",7.6,46.7,46.7,NA,NA,NA,NA,NA,NA
"HMC4","HMC4004C","TSCA",11.2,91.9,NA,NA,NA,NA,NA,NA,NA
"HMC4","HMC4060C","TSCA",12,NA,NA,7.4,NA,NA,NA,NA,NA
"HMC4","HMC4061C","TSCA",13.5,NA,NA,11.2,11.1,11.3,11.1,NA,NA
"HMC4","HMC4017C","ACSA",4.6,28.1,28.1,NA,NA,NA,NA,NA,NA
"HMC4","HMC4029C","BEAL",13.2,25.4,25.6,26.4,26.1,26.3,26.8,26.6,NA
"HMC4","HMC4036C","ACSA",7,28.9,28.9,31.2,NA,NA,NA,NA,NA
"HMC4","HMC4026C","ACRU",2.9,41.4,43.9,NA,NA,NA,NA,NA,NA
"HMC4","HMC4031C","TSCA",15.6,23.8,23.8,23.8,NA,NA,NA,NA,NA
"HMC4","HMC4032C","TSCA",15.7,42.4,43.4,48.7,49,52.2,NA,NA,NA
"HMC4","HMC4034C","TSCA",12,16.7,17,18.2,17.5,NA,NA,NA,NA
"HMC4","HMC4039C","TSCA",13.4,43.9,43.9,45.5,NA,NA,NA,NA,NA
"HMC4","HMC4050C","TSCA",15.2,19.3,19.5,20,20.1,20.2,NA,NA,NA
"HMC4","HMC4051C","ACSA",15.6,28.4,28.7,30.9,31,30.7,NA,NA,NA
"HMC4","HMC4059C","TSCA",3.4,NA,NA,7.5,7.5,7.6,7.5,7.7,NA
"HMC4","HMC4053C","TSCA",14.3,13.4,13.4,14.5,14,NA,NA,NA,NA
"HMC4","HMC4047C","TSCA",6.7,13.9,13.9,14.1,14.2,NA,NA,NA,NA
