"stemindex","Plot","No.","Sp","Azi","Dist.","D62","D67","D89","D94","D99","D04","D09","D14","dd67","dd89","dd94","dd99","dd04","dd09","dd14","89comm","94comm","99comm","04comm","09comm","14comm"
269,7092,37,"Acsa",313,14.2,37.8,38.3,41.9,42.9,43.4,43.7,43.9,43.8,,,,,,,,,,,,,
272,7092,38,"Tsca",327,15.5,44.1,45.2,49.3,50.7,50.7,51.5,53.8,,,,,,,,1,,,,,,"1-b-2"
273,7092,916,"Tiam",330,17.4,,,65.1,66.6,67.4,67.6,69.8,70.6,,,,,,,,,,,,,
274,7092,917,"Tsca",347,17.1,,,76.3,78.1,79.2,,,,,,,,1,,,,,,"broken @3m live branch on fallen",,
275,7092,39,"Tsca",350,14.4,31.2,31.7,34.8,35.4,35.9,36.3,37.1,37.2,,,,,,,,,,,,,
279,7093,57,"Tsca",10,13.4,,12.7,16.1,16.4,16.1,16.3,16.4,16.8,,,,,,,,,,,,,
280,7093,2,"Tsca",13,8.8,24.8,26.1,34.6,36.1,37,38,38.8,39.5,,,,,,,,,,,,,
281,7093,58,"Acru",13,7.6,46.7,46.7,,,,,,,,1,,,,,,"stump",,,,,
284,7093,1,"Tsca",17,4.9,19.8,20.8,26.1,27.5,27.9,28.5,29.5,30.7,,,,,,,,,,,,,
283,7093,3,"Tsca",28,13.3,76.4,77.7,85.8,87.6,89.2,91,92.2,,,,,,,,1,,,,,,"1-b-15"
282,7093,901,"Tsca",28,16.2,,,28,28.6,28.8,28.9,29.4,30.2,,,,,,,,,,,,,
285,7093,4,"Tsca",64,11.2,91.9,,,,,,,,1,,,,,,,"Log, still pretty intact w/ bark. Branches rooted down.",,,,,
287,7093,5,"Tsca",71,5.2,44.4,46.2,58.3,59.6,61.9,64.2,66.7,68.5,,,,,,,,,,,,,
286,7093,7,"Tsca",73,11.8,14.2,14.9,19.5,19.9,20.4,21,21.6,22.1,,,,,,,,,,,,,
288,7093,902,"Tsca",79,17.4,,,26,26.3,26.3,26.3,26.3,26.5,,,,,,,,,,,,,
289,7093,6,"Tsca",83,10,15.7,17,20.9,21.3,21.6,22,21.4,21.6,,,,,,,,,,,,,
290,7093,8,"Tsca",87,12.4,16.5,17.7,22.8,23.5,24.4,25.3,26.1,26.9,,,,,,,,,,,,,
291,7093,60,"Tsca",92,12,,,7.4,,,,,,,,1,,,,,"Sickly",,,,,
292,7093,61,"Tsca",105,13.5,,,11.2,11.1,11.3,11.1,,,,,,,,1,,,,,,"standing",
293,7093,10,"Tsca",116,15.4,35.5,36.8,43.8,45.7,47.3,47.7,50.8,52.3,,,,,,,,,,,,,
294,7093,12,"Tiam",117,11.8,37.8,38.8,45.1,45.2,45.8,46.2,46.2,47.1,,,,,,,,,,,,,
295,7093,11,"Tsca",119,13.3,34.7,35.8,41.3,41.9,42.9,43.9,44.7,45.7,,,,,,,,,,,,,
298,7093,13,"Tsca",124,10.3,16.7,17.2,18.9,18.6,18.7,18.9,19.3,19.4,,,,,,,,,,,,,
297,7093,14,"Belu",125,9.3,46.7,48,51.9,52.4,53.8,53.5,54.7,54.5,,,,,,,,,,,,,
296,7093,62,"Tsca",127,5.8,,,9.3,9.3,9.6,9.2,9.3,9.3,,,,,,,,,,,,,
316,7093,25,"Tsca",133,2.3,21.8,22.6,25.9,26.7,27.1,26.8,26.8,26.6,,,,,,,,,,,,,
299,7093,18,"Acsa",137,10.1,31.4,31.7,36.5,34.6,35,35.3,37.4,37.6,,,,,,,,,,,,,
302,7093,20,"Belu",138,14.8,38.1,38.6,40.2,39.9,40.4,40.4,41.3,40.9,,,,,,,,,,,,,
300,7093,15,"Tsca",138,4.9,29.2,30.2,34.7,35.7,36.3,37.8,37.8,38.2,,,,,,,,,,,,,
303,7093,19,"Tsca",139,13.5,18.2,19,22.6,23.5,23.4,24,24.3,24.3,,,,,,,,,,,,,
304,7093,63,"Tsca",151,10.7,,,12.3,13,12.9,12.9,12.6,12.4,,,,,,,,,,,,,
305,7093,930,"Tsca",159,17.2,,,33.1,33.6,33.9,34,35.2,35.7,,,,,,,,,,,,,
307,7093,21,"Acsa",163,14.4,38.3,39.1,45.5,45.9,47.1,47.4,48.2,48.2,,,,,,,,,,,,,
310,7093,929,"Acsa",165,16.9,,,50.1,50.3,50.1,51.9,52,52.9,,,,,,,,,,,,,
308,7093,22,"Tsca",166,13.6,15.4,16,18.8,19.4,19.4,19.8,20,20.3,,,,,,,,,,,,,
311,7093,27,"Tsca",173,9,,12.7,14.2,14.4,14.4,14.4,14.3,14.3,,,,,,,,,,,,,
312,7093,23,"Tsca",178,16.1,22.6,23.3,25.5,25.9,26,26.3,26.5,26.7,,,,,,,,,,,,,
306,7093,17,"Acsa",182,4.6,28.1,28.1,,,,,,,,1,,,,,,"Dead. 5-10 yrs.",,,,,
315,7093,908,"Tsca",187,17.2,,,15,14.9,,,,,,,,1,,,,,,"fallen",,,
313,7093,24,"Belu",187,16.4,30.2,30.7,33.2,33.2,33.6,34.2,34.2,34.2,,,,,,,,,,,,,
301,7093,16,"Tsca",190,2.1,29.9,30.4,33.2,34.1,34.1,34.7,34.9,35.7,,,,,,,,,,,,,
314,7093,28,"Tsca",194,9.2,60.1,61.4,69.2,69.6,70.8,71.9,72.7,73.7,,,,,,,,,,,,,
319,7093,29,"Belu",205,13.2,25.4,25.6,26.4,26.1,26.3,26.8,26.6,,,,,,,,1,,,,,,"3-b-15"
317,7093,36,"Acsa",210,7,28.9,28.9,31.2,,,,,,,,1,,,,,,,,,,
309,7093,26,"Acru",212,2.9,41.4,43.9,,,,,,,,1,,,,,,"Dead, rotted, >15 yr",,,,,
322,7093,911,"Tsca",216,18.5,,,35.4,36.4,37.5,37.7,38.1,38.3,,,,,,,,,,,,,
321,7093,30,"Tsca",217,15.4,40.3,41.6,49.4,50.6,52.5,54.4,55.7,57.2,,,,,,,,,,,,,
324,7093,912,"Tsca",219,20.6,,,25.2,25.5,25.1,25.1,,,,,,,,1,,,,,,"2-standing",
325,7093,913,"Belu",219,21.6,,,35.2,35.8,36.8,37,38.6,37.7,,,,,,,,,,,,,
323,7093,31,"Tsca",220,15.6,23.8,23.8,23.8,,,,,,,,1,,,,,,,,,,
320,7093,37,"Tsca",221,5.7,32.7,34,40.9,42.3,43.9,45.5,46.9,47.9,,,,,,,,,,,,,
327,7093,32,"Tsca",228,15.7,42.4,43.4,48.7,49,52.2,,,,,,,,1,,,,,,"broken high",,
326,7093,35,"Tsca",231,10.9,19,19.5,21.4,21.7,22.2,23,23.7,24.4,,,,,,,,,,,,,
318,7093,38,"Tsca",232,3.7,19,19.5,21.1,21.4,21.4,21.4,21.5,21.6,,,,,,,,,,,,,
328,7093,34,"Tsca",234,12,16.7,17,18.2,17.5,,,,,,,,1,,,,,,"standing w/ branches",,,
329,7093,915,"Tsca",247,20.9,,,38.1,37.8,39.5,39.6,40,40.8,,,,,,,,,,,,,
330,7093,926,"Tsca",252,17,,,24.7,25,25.4,25.8,26.2,27.1,,,,,,,,,,,,,
331,7093,914,"Tsca",253,21.2,,,38.8,40.4,42.7,43.1,46.4,48.5,,,,,,,,,,,,,
332,7093,39,"Tsca",254,13.4,43.9,43.9,45.5,,,,,,,,1,,,,,,,,,,
333,7093,916,"Tsca",260,18.6,,,43.9,44.9,47.6,48.5,50.3,52.2,,,,,,,,,,,,,
335,7093,40,"Tsca",268,11.3,38.8,40.1,48.1,49.8,51.9,53.5,55.1,57,,,,,,,,,,,,,
