"stemindex","Plot","No.","Sp","Azi","Dist.","D62","D67","D89","D94","D99","D04","D09","D14","dd67","dd89","dd94","dd99","dd04","dd09","dd14","89comm","94comm","99comm","04comm","09comm","14comm"
440,7094,78,"Tsca",315,9.1,,,9.8,,,,,,,,1,,,,,,"1 standing",,,,
441,7094,69,"Tsca",315,10.9,25.4,26.4,31.1,32.2,33.7,34.5,35.7,36.7,,,,,,,,,,,,,
444,7094,62,"Tsca",315,14.5,22.3,23.6,28.4,28,28.8,29.5,30,,,,,,,,,,,,,,
443,7094,64,"Acsa",315,16.3,22.3,23.6,27.9,27.7,29.6,29.8,30.3,32.1,,,,,,,,,,,,"weird trunk, measured above lodge",
445,7094,63,"Belu",320,15.9,15.4,15.4,16.1,16.5,16.1,16.1,,,,,,,,1,,,,,,"2-B-3",
446,7094,80,"Tsca",320,16.1,,,12.4,12.1,,,,,,,,1,,,,,,"w/ twigs",,,
447,7094,57,"Belu",327,3.6,25.6,26.6,29.2,29.4,29.8,,,,,,,,1,,,,,,"standing",,
448,7094,59,"Acsa",327,5,41.4,41.6,43.6,44.2,44.4,44.6,44.9,45.9,,,,,,,,,,,,,
449,7094,65,"Acsa",329,14.9,26.6,26.9,27.5,27.4,29.4,,,,,,,,1,,,,,,"down on ground, losing bark, no branches",,
450,7094,66,"Tsca",330,15.6,13.4,13.7,14.4,14.7,14.3,14.5,14.5,14.4,,,,,,,,,,,,,
451,7094,67,"Tsca",332,15.8,14.4,14.7,15.3,15.9,15.4,15.4,15.3,,,,,,,,1,,,,,,"1- standing"
452,7094,915,"Tiam",332,18.5,,,38.5,39,39.3,39.4,40,39.9,,,,,,,,,,,,,
453,7094,68,"Tsca",339,12.9,17.7,18.7,21.5,22.4,22.7,22.7,22.9,23,,,,,,,,,,,,,
454,7094,16,"Tsca",341,16.3,35.5,37,43.4,44.2,44.9,45.1,46,47.1,,,,,,,,,,,,,
455,7094,79,"Tsca",353,12.8,,,8.9,9.1,9.1,9,,,,,,,,1,,,,,"leaning","tipped",
456,7094,916,"Belu",353,17.6,,,33.5,33.9,34.9,35,35.8,36,,,,,,,,,,,,,
457,7094,917,"Acsa",358,16.6,,,27.3,27.2,,,,,,,,1,,,,,,"high break no branches",,,
458,7095,,"Acsa",5,15,,,11.4,12,12.5,12.7,,,,,,,,1,,,,,,"2-standing",
460,7095,1,"Tsca",10,1.5,18.5,18.7,19.8,20.2,20.5,21,21,21.6,,,,,,,,,,,,,
459,7095,2,"Acru",10,7.5,16.7,17.2,19.9,19.5,20,20.8,20.2,20.4,,,,,,,,,,,,,
462,7095,6,"Tsca",15,10.9,15.4,15.7,16.7,16.8,16.7,17,16.9,17.1,,,,,,,,,,,,,
461,7095,7,"Tsca",15,15.6,14.7,14.9,15.8,,,,,,,,1,,,,,,,,,,
463,7095,82,"Tsca",19,8.6,,,,,,,,,,1,,,,,,"long dead",,,,,
464,7095,5,"Tsca",19,10.8,32.7,33.2,36.9,37.2,37.6,38.3,38.3,38.2,,,,,,,,,,,,,
465,7095,3,"Tsca",27,7.8,37.8,38.6,42,41.9,42.6,43.5,43.5,43.8,,,,,,,,,,,,,
466,7095,4,"Tsca",27,10.6,43.1,43.9,49.5,46.5,47.3,47.2,47.9,47.4,,,,,,,,,,,,,
467,7095,901,"Tsca",45,16.4,,,47.9,48.8,49.9,50.1,51.4,52,,,,,,,,,,,,,
468,7095,8,"Acsa",46,15.9,28.9,29.4,30.6,,,,,,,,1,,,,,,"B-0.5-2",,,,
469,7095,9,"Pogr",48,11.2,47.7,49.7,59.8,62,64,65.2,66.7,67.8,,,,,,,,,,,,,
470,7095,14,"Acru",49,2,13.7,14.4,16.1,16.3,16.6,16.9,17,17.3,,,,,,,,,,,,,
471,7095,11,"Tsca",60,10.9,23.6,24.1,25.7,26.4,26.7,27.2,27.3,27.9,,,,,,,,,,,,,
472,7095,10,"Tsca",62,13.2,22.8,23.6,25.5,26.1,26.9,27.5,27.8,28.1,,,,,,,,,,,,,
473,7095,902,"Tsca",63,16.9,,,48.7,49.6,50.8,51,52,52.6,,,,,,,,,,,,,
474,7095,12,"Acru",64,9.1,17.5,17.5,19.1,19.1,19.2,18.9,,,,,,,,1,,,,,"leaning, alive","3-B-1",
475,7095,13,"Belu",67,5.2,14.2,14.4,16.4,,,,,,,,1,,,,,"Belu on  the 1989 data",,,,,
476,7095,903,"Tsca",79,16.7,,,34.9,36.2,37.5,37.8,39,39.7,,,,,,,,,,,,,
477,7095,17,"Tsca",89,6.9,25.1,25.1,26.3,26.2,26.7,26.6,26.3,26.3,,,,,,,,,,,,,
478,7095,18,"Tsca",89,7.6,27.1,27.4,28.3,28.4,28.9,28.9,,,,,,,,1,,,,,,"2-standing",
479,7095,904,"Acru",91,17,,,47.7,48.5,49.3,49.5,50.2,50.7,,,,,,,,,,,,,
480,7095,19,"Tsca",101,12.3,22,22.3,23.7,23,23.2,23.1,,,,,,,,1,,,,,,"2-standing",
481,7095,,"Tsca",108,15.1,,,10.5,10.4,10.8,10.6,10.5,10.5,,,,,,,,,,,,,
482,7095,20,"Tsca",108,15.1,24.3,24.8,26,27.8,28.4,28.6,29,29.4,,,,,,,,"double stem",,,,,
484,7095,16,"Tsca",109,5.6,50.5,51.3,55.9,56.5,57.5,58.2,59.3,59.8,,,,,,,,,,,,,
483,7095,21,"Tsca",109,14.7,35.3,36,40.2,40.7,41.7,42.2,42.6,43.3,,,,,,,,,,,,,
485,7095,25,"Tsca",116,8.3,44.7,45.7,50.6,51.8,52.9,54,55,55.7,,,,,,,,,,,,,
486,7095,15,"Tsca",125,5.1,29.2,29.7,31,31.2,31.4,31.4,31.5,,,,,,,,1,,,,,,"1- standing"
487,7095,24,"Belu",129,13.2,16,16,,,,,,,,1,,,,,,"Dead. ca. 4 yrs.",,,,,
489,7095,22,"Belu",129,15.7,19.5,20,24.1,,,,,,,,1,,,,,,,,,,
488,7095,23,"Belu",129,15.9,13.7,13.9,,,,,,,,1,,,,,,"Dead. Stem of 22",,,,,
490,7095,26,"Tsca",140,8.9,18.2,18.7,20,20.3,20.7,21,21,21.4,,,,,,,,,,,,,
491,7095,28,"Tsca",140,12.1,37.3,38.3,44.5,46.2,47.7,48.9,50,51.2,,,,,,,,,,,,,
492,7095,27,"Acru",146,10.1,36.8,37,,,,,,,,1,,,,,,"Dead. Broken ca. 3m. 5-10 yrs.",,,,,
493,7095,29,"Tsca",147,15.2,33.2,34.2,38.6,39.8,41.1,41.9,43.1,43,,,,,,,,,,,,,
494,7095,30,"Tsca",154,13.4,23.8,24.1,24.9,25.1,25.1,25.2,,,,,,,,1,,,,,,"1-standing",
495,7095,31,"Tsca",159,13.5,23.1,23.6,26.1,26.1,26.4,26.8,,,,,,,,1,,,,,,"1-standing",
496,7095,906,"Tsca",163,18.6,,,36.8,37.1,38.5,38.7,39.6,39.9,,,,,,,,,,,,,
498,7095,37,"Acsa",168,11.2,20,20.3,22.6,22.8,23.1,23.2,23.3,23.7,,,,,,,,,,,,,
497,7095,32,"Tsca",168,15.2,15.7,16,17.7,17.4,17.9,17.9,18.4,18.2,,,,,,,,,,,,,
499,7095,33,"Tsca",170,13.8,13.9,13.9,,,,,,,,1,,,,,,"Dead. > 5 yrs. Broken at ca. 1m.",,,,,
500,7095,75,"Tsca",176,8.9,,,10.8,10.4,,,,,,,,1,,,,,,"broken @ base",,,
501,7095,38,"Tsca",177,9.8,14.2,14.2,15.1,15.1,15.3,15.3,15.3,,,,,,,,1,,,,,,"1-b-2"
502,7095,907,"Tsca",180,16.4,,,16,16.3,16.6,16.7,16.5,16.8,,,,,,,,,,,,,
503,7095,39,"Tsca",181,9.2,26.9,27.9,33.6,35,36.4,37.6,38.4,39,,,,,,,,,,,,,
504,7095,34,"Pogr",188,15.9,49.5,50.8,60.4,60.9,62.8,62.9,63.8,,,,,,,,1,,,,,,"2-standing"
505,7095,40,"Tsca",189,6.6,20,20.5,22,22,22.2,22.4,22.5,22.6,,,,,,,,,,,,,
506,7095,908,"Tsca",190,16.7,,,28.9,29.8,30.8,31,32.2,32.8,,,,,,,,,,,,,
507,7095,36,"Tsca",199,11.6,33.2,34.2,39.4,40.6,41.7,42.6,43,43.8,,,,,,,,,,,,,
508,7095,35,"Pogr",200,15.4,30.9,32.7,42.3,45.6,48.8,50.6,53.6,56.4,,,,,,,,,,,,,
509,7095,41,"Belu",211,5.9,23.1,23.6,25.2,25.1,25.2,25.6,,,,,,,,1,,"Bepa on the 1989 data",,,,"1-standing",
510,7095,909,"Tsca",212,17,,,29.5,30.3,31.2,31.4,32.4,32.9,,,,,,,,,,,,,
511,7095,76,"Tsca",214,12.7,,,9.8,10,10.1,10.1,10,,,,,,,,1,,,,,,"1-b-0.5"
512,7095,46,"Acsa",215,15.2,18.2,18.5,19.2,19.4,19.7,20,19.9,22.1,,,,,,,,,,,"weird shape - use white mark",,
513,7095,77,"Tsca",216,15.4,,,7.5,7.5,8,7.6,,,,,,,,1,,,,,,"1-standing",
514,7095,43,"Tsca",218,10.3,28.1,28.9,32.2,32.7,33.5,34.3,35.5,35.6,,,,,,,,,,,,,
515,7095,44,"Bepa",225,12.1,40.8,41.4,42.6,,,,,,,,1,,,,,,,,,,
516,7095,45,"Tsca",225,14.7,20.3,20.8,21.8,21.7,21.7,,,,,,,,1,,,,,,"dead standing with twigs",,
517,7095,42,"Tsca",226,6.2,28.9,29.7,32.7,31.7,,,,,,,,1,,,,"Badly wounded.",,,,,
518,7095,910,"Tsca",233,16.6,,,24.9,25.5,25.7,,,,,,,,1,,,,,,"dead, standing, small twigs",,
519,7095,911,"Tsca",248,16.8,,,21.1,20.9,21.4,,,,,,,,1,,,,,,"dead, standing, small twigs",,
520,7095,47,"Acru",250,14.6,15.2,15.7,17.9,18.4,18.8,19.5,19.4,19.8,,,,,,,,,,,,,
521,7095,912,"Tsca",252,16.8,,,21.9,22.3,23,23.1,23.4,23.7,,,,,,,,,,,,,
522,7095,49,"Acsa",253,12.5,23.8,24.3,26.5,27.2,28,28.5,28.8,29.3,,,,,,,,,,,,,
523,7095,48,"Tsca",258,14,14.7,15.2,17.9,17.8,17.6,18,18.4,18.5,,,,,,,,,,,,,
524,7095,53,"Acsa",260,7.8,28.1,28.7,30.1,30.2,30.2,30,,,,,,,,1,,,,,,"4-B-.5",
525,7095,50,"Tsca",260,15.5,29.9,30.9,35.2,36.1,37.2,37.8,38.3,38.7,,,,,,,,,,,,,
526,7095,54,"Tsca",263,4.8,22.8,23.6,27.1,27.9,28.8,29.4,29.8,30.4,,,,,,,,,,,,,
527,7095,78,"Tsca",265,14.5,,,6.6,,,,,,,,1,,,,,,,,,,
528,7095,51,"Tsca",268,13.5,28.9,29.9,35.3,36.9,37.8,39,39.5,40.3,,,,,,,,,,,,,
529,7095,79,"Tsca",270,15.6,,,4.9,,,,,,,,1,,,,,,,,,,
530,7095,914,"Tsca",272,16.4,,,24.5,24.8,25.3,25.4,25.6,25.6,,,,,,,,,,,,,
531,7095,52,"Tsca",275,8.3,22.8,23.8,27.1,27.6,28.3,29,29.3,30,,,,,,,,,,,,,
532,7095,55,"Tsca",276,4.9,22,22.3,23.2,23.5,23.1,23.4,23.3,,,,,,,,1,,,,,,"1- standing"
533,7095,56,"Tsca",279,3.9,34,35,40.4,42,43.2,44.6,44.8,45.9,,,,,,,,,,,,,
534,7095,57,"Thoc",283,14.9,36.5,37.3,40.9,40.4,40.7,41,40.9,41.3,,,,,,,,,,,,,
536,7095,59,"Tsca",284,6.5,24.1,24.3,26.5,26.1,26.4,26.5,26.4,,,,,,,,1,,,,,,"1- standing"
535,7095,58,"Tsca",284,11.8,14.9,15.2,16.6,16,16.5,16.5,,,,,,,,1,,,,,,"1-standing",
537,7095,60,"Tsca",285,4.2,23.6,24.1,25.2,25.7,25.4,25.5,25.5,,,,,,,,1,,,,,,"4-b-2"
538,7095,915,"Tsca",292,20.3,,,27.2,27.2,26.7,26,26,,,,,,,,1,,,,,,"2-b-1"
539,7095,65,"Belu",295,12.9,13.9,13.9,,,,,,,,1,,,,,,"Long dead. Broken.",,,,,
540,7095,66,"Belu",295,15.1,28.1,28.9,32.2,32.5,34,33.3,33.4,34.5,,,,,,,,,,,,,
542,7095,80,"Tsca",296,7,,,11.1,,,,,,,,1,,,,,,,,,,
541,7095,61,"Tsca",296,8,37.5,38.6,43.7,44.8,46,47,48.1,49,,,,,,,,,,,,,
543,7095,67,"Tsca",299,14.2,18.5,19.3,21.7,22.2,22.7,23,23.3,23.6,,,,,,,,,,,,,
544,7095,62,"Tsca",300,8.4,33,33.5,35.4,35.8,36.1,36.3,36.3,,,,,,,,1,,,,,,"1- standing"
545,7095,63,"Tsca",308,8.9,17.7,18,18.8,19.4,19,19.3,19.2,19.1,,,,,,,,,,,,,
546,7095,64,"Acsa",313,10.1,24.8,25.1,,,,,,,,1,,,,,,"Broken at ca. 2.5m. Dead. > 5 yrs",,,,,
547,7095,916,"Tiam",316,16.4,,,28.8,28.3,28.6,28.6,30,34,,,,,,,,,,,,,
548,7095,917,"Tiam",318,16.4,,,23.5,23.3,,,,,,,,1,,,,,,"broken @ 8m",,,
549,7095,68,"Tsca",321,14.8,24.6,25.4,29.9,30.8,32.6,33.5,34.4,35.4,,,,,,,,,,,,,
550,7095,918,"Tsca",329,19.4,,,61.3,62.3,63.5,63.7,65.3,66.8,,,,,,,,,,,,,
551,7095,69,"Tsca",332,15.9,35,36,42.1,42.7,44.1,45,45.8,46.7,,,,,,,,,,,,,
552,7095,74,"Tsca",339,9.4,,,18.2,18.8,18.7,18.8,18.7,18.7,,,,,,,,,,,,,
553,7095,70,"Tsca",341,13,17,17.2,18.2,18.2,18.5,18.4,18.7,,,,,,,,1,,,,,,"1- standing"
554,7095,72,"Acru",344,10.4,34.7,35,35.5,34.6,,,,,,,,1,,,,,,"broken @ base",,,
555,7095,81,"Tsca",347,7.3,,,10.5,10.6,10.7,10.7,10.6,,,,,,,,1,,,,,,"1- standing"
556,7095,73,"Tsca",348,9.2,43.9,44.9,49.7,50.7,51.8,52.5,53.2,54.1,,,,,,,,,,,,,
